Business Id,Business Name,City,State,Phone No,Business Category,Open
B1,Big Surf,San Jose,CA,(520) 622-6400,BCT1,T
B2,AirBorne COFFEE,San Jose,CA,(408) 524-3580,BCT2,T
B3,Pedley Richard Architect,San Jose,CA,(419)-244-5200,BCT3,T
B4,Safelite AutoGlass,San Jose,CA,(520)-465-5225 ,BCT4,T
B5,SMITH THOMSON ,San Jose,CA,(855)-808-1480,BCT5,T
B6,Catch Your Big Break,San Jose,CA, (408)-827-8383,BCT6,T
B7,Bay Area Coffee Shop,Santa Clara ,CA,(408)-876 7785,BCT7,T
B8,China  Coffee Toffee ,Santa Clara ,CA,(408)-261-9000,BCT8,T
B9,Hastings Water Works, Brecksville,OH,(440)-832-7700,BCT9,T
B10,The Cinebar,Torrance,CA,(408)-465-8308,BCT10,T
B11,In-N-Out Burger,San Jose,CA,(408)-804-8782,BCT11,F
B12,Coffee Bar & Bistro,Santa Clara,CA,(408)-465-8208,BCT10,T
B13,Renegades, Santa Clara,CA,(408)-465-8108,BCT10,T
B14,Alex's 49er Inn,Columbus,OH,(419)-465-8018,BCT10,T
B15,Red Stag Lounge,Brecksville,OH,(419)-465-8028,BCT10,T
B16,JJ's Blues,Brecksville,OH,(419)-465-8108,BCT10,T
B17,The Bears Cocktails,Vienna,VA,(844)-465-8028,BCT10,T
B18,Trials Pub,Vienna,VA,(844)-465-8038,BCT10,T
B19,Santa Cruz Wine Bar,Vienna,VA,(844)-465-8048,BCT10,T
B20,Firehouse No 1 Gastropub,Tempe,AZ,(520)-465-8058,BCT10,T
B21,Original Gravity Public House,Tempe,AZ,(520)-465-8068,BCT10,T
B22,Hobee's,San Jose,CA,(408)-465-8078,BCT5,F
B23,The Table,San Jose,CA,(408)-465-8908,BCT5,T
B24,Top Nosh Café,San Jose,CA,(408)-465-8098,BCT5,T
B25,Breakfast Place,San Jose,CA,(408)-465-8808,BCT5,F
B26,Cafe Rosalena,San Jose,CA,(408)-465-8708,BCT5,F
B27,Southern Kitchen,San Jose,CA,(408)-465-8608,BCT5,F
B28,Holder's Country Inn,San Jose,CA,(408)-465-8508,BCT5,F